"commune_code","nom","millesimes_1","pourcent_artif_1","surface_artif_1","millesimes_2","pourcent_artif_2","surface_artif_2","flux_surface_1_2","flux_percent_1_2","departement_code","region_code","epci_code","scot_code","commune_surface"
"17293","Puyravault","2018",6.06459064420282,832693.9705,"2021",6.13294621528697,842079.4798,9385.5093,0.0683555710841528,"17","75","200041614","237",13730423.36
"17294","Puyrolland","2018",4.81457043069063,630814.2009,"2021",4.81269191735665,630568.0745,-246.1264,-0.00187851333397582,"17","75","200041689","31",13102190.7350001
"17295","Réaux sur Trèfle","2018",7.63841232774009,1579150.6859,"2021",7.62034434127763,1575415.3451,-3735.3408,-0.0180679864624631,"17","75","200041523","10322",20673807.8299998
"17296","Rétaud","2018",8.64831422916586,1718934.1087,"2021",8.70089095309586,1729384.229,10450.1203,0.0525767239300023,"17","75","241700632","32",19875944.18
"17297","Rivedoux-Plage","2018",36.7845976441171,1780288.0601,"2021",37.1637211475821,1798636.7465,18348.6864,0.379123503465038,"17","75","241700459","",4839764.93999988
"17298","Rioux","2018",7.29149133337157,1384768.6088,"2021",7.31352400058667,1388952.958,4184.3492,0.022032667215095,"17","75","241700632","32",18991569.0149999
"17299","Rochefort","2018",50.9412952327593,11199792.5265,"2021",51.4852193261124,11319377.9624,119585.4359,0.543924093353162,"17","75","200041762","30",21985684.6500001
"17300","La Rochelle","2018",81.9462444691619,24690177.4754,"2021",81.716142789602,24620848.4739,-69329.0015,-0.230101679559908,"17","75","241700434","237",30129724.2299999
"17301","Romazières","2018",2.71749101001121,236579.0481,"2021",2.61107798845314,227314.9544,-9264.0937,-0.106413021558064,"17","75","200041689","31",8705789.54000015
"17302","Romegoux","2018",7.34716251973074,976434.053,"2021",7.46187171795896,991678.8454,15244.7924,0.114709198228216,"17","75","241700517","32",13289947.6550001
"17303","La Ronde","2018",5.60919317691569,1166227.4074,"2021",5.62250643362505,1168995.4142,2768.0068,0.0133132567093677,"17","75","200041499","237",20791357.5200002
