CodGeo;Note;nbLsPls;nbLsMes;txVac;txVac3m;txRot;txLsCol;txLsInd;txLs1p;txLs2p;txLs3p;txLs4p;txLs5pp;txLsm30;txLs30a40;txLs40a60;txLs60a80;txLs80a100;txLs100a120;txLs120p;txLsAv49;txLs49a75;txLs76a88;txLs89a00;txLs01a13;txLsAp13;txLsPlai;txLsPlusAv77;txLsPlusAp77;txLsPls;txLsPli;moyLoy;q1Loy;medLoy;q3Loy
69381;0;2764;18;2;1;8,5;100;0;15,1;31,9;33,2;15,4;4,3;9;11,4;32,6;30;12,2;3,7;1,1;60,5;13,2;7,8;13,4;4,4;0,8;15,5;14,5;55,2;10,3;4,4;7,25;6,03;6,81;7,81
69382;0;2423;21;0,7;0,5;5,1;100;0;21,1;26,4;31,8;16,1;4,6;14,1;9,2;32,4;28,4;12,8;2,6;0,5;37,1;5,5;0,6;12,5;17,5;26,8;15,6;16,5;46;16,9;4,9;7,31;6,45;7,08;7,69
69383;0;8783;124;1,3;0,5;5,4;99,7;0,3;12,3;25,2;36,2;21,2;5;6,2;8,1;29,9;35,3;16,4;3,4;0,7;25,9;15,5;9,4;27,2;12;10;9,7;16;47,8;18,5;8;7,74;6,61;7,47;8,54
69384;0;2827;19;1,5;0,4;4,7;98,5;1,5;6;23,1;36,3;27,8;6,8;2,8;4,9;34,1;39,5;14,3;3,4;1;18,6;39,9;5,1;21,7;8,2;6,4;6,5;41,5;37,4;9,7;4,9;6,94;5,85;6,61;7,62
69385;0;3120;52;1,5;0,4;5,6;100;0;11,1;22,1;31,8;26,7;8,4;2;11,1;25;43,5;15,9;1,9;0,6;13,5;49,9;9,8;12;4;10,9;10,1;41,8;37,4;7;3,8;6,9;5,9;6,65;7,59
69386;0;2731;41;1,7;0,7;6;100;0;21,1;27,6;29,2;17,6;4,6;9,2;10,7;30,8;31,7;14,5;2,6;0,5;25;18,1;21,8;17,1;14;4;8,7;16,3;58,2;9;7,8;7,57;6,53;7,23;8,11
69387;0;8323;95;1,3;0,7;6,1;99,4;0,6;21,4;23,2;29,6;19,8;6;15,5;6;25,9;34;15,2;2,8;0,6;11,9;14,2;14;15,3;19,3;25,2;10,7;10,3;51,5;21,4;6,1;7,66;6,45;7,31;8,37
69388;0;14802;303;1,9;0,5;5,8;99,7;0,3;8,1;27,3;36,1;21,7;6,7;5,5;10,8;41,4;29,4;11,6;1,2;0;13,5;52,3;5,5;4,4;9,8;14,4;4,8;61,6;16,4;14,5;2,7;7,06;6;6,68;7,63
69389;0;9065;108;1,9;0,8;7,8;99,6;0,4;13,6;19,6;31,3;26,7;8,8;9,9;6,2;30,2;35,3;15,6;2,3;0,4;13;38,6;3,5;13,8;15,6;15,5;4,5;45,3;29,5;16,5;4,1;7,07;5,94;6,67;7,75
70279;0;826;0;8,7;5,5;12,4;96,6;3,4;4,4;14,7;42,5;26,4;12;1,5;2,3;27,9;51,3;12,3;4,8;0;5,1;75,7;12,6;2,3;1,5;2,7;4,5;86;9,6;0;0;4,82;4,36;4,67;5,1
70285;0;1534;0;3,2;1,1;11,6;86,8;13,2;5,3;19,8;37,3;27,9;9,8;2,5;3,2;26;49;16,2;2,2;0,8;5;41;15,2;21,6;14,8;2,4;3,9;50,3;39,1;6,7;0;5,48;4,45;5,21;6,47
70310;0;856;0;2,7;1,5;13,1;87,9;12,1;3,8;14,8;38;31,9;11,5;0;2,6;21,1;57,4;17,5;1,4;0;3,3;69,3;10,8;3,3;8,9;4,5;5,4;64,5;23,7;4,2;2,1;5,06;4,44;4,75;5,45
70311;0;751;0;4,7;2,4;11,8;91,6;8,4;3,7;14,9;31,2;42,5;7,8;2;5,6;25,4;53,4;12;1,6;0;7,2;64,2;13,8;6,6;6,8;1,5;3,2;75,4;18,9;2,5;0;4,88;4,3;4,64;5,22
70550;0;2930;20;0,7;0,4;9,1;91,6;8,4;5,2;21,5;38,5;26;8,8;1,2;6,5;27,1;48,5;14,9;1,7;0;6;54;19;11,6;5,8;3,6;4,6;66,4;25,9;2,2;0,9;5,18;4,35;4,89;5,93
