code_residence,commune_residence,dep_residence,code_travail,commune_travail,dep_travail,flux,annee
11116,Cuxac-d'Aude,11,34090,Le Crès,34,4.94084613578092,2019
11116,Cuxac-d'Aude,11,34129,Lattes,34,5.10953830281715,2019
11116,Cuxac-d'Aude,11,34172,Montpellier,34,9.99289755440143,2019
11122,Douzens,11,34172,Montpellier,34,5.23870759480469,2019
11126,Escales,11,38185,Grenoble,38,4.98377752110047,2019
11144,Fitou,11,34172,Montpellier,34,5.05281274446028,2019
11145,Fleury,11,34172,Montpellier,34,13.9686399387604,2019
11152,Fontjoncouse,11,34172,Montpellier,34,4.84732824427481,2019
11153,La Force,11,34172,Montpellier,34,4.82,2019
11170,Gruissan,11,34172,Montpellier,34,9.91265864420938,2019
11172,Homps,11,34172,Montpellier,34,5.00445139673028,2019
11193,Lasserre-de-Prouille,11,34172,Montpellier,34,10.3433167376919,2019
11198,Laure-Minervois,11,34172,Montpellier,34,4.79385046413569,2019
11199,Lavalette,11,34172,Montpellier,34,5.15702337070575,2019
11202,Leucate,11,34129,Lattes,34,5.0,2019
11203,Lézignan-Corbières,11,34057,Castelnau-le-Lez,34,5.00010553450583,2019
11203,Lézignan-Corbières,11,34058,Castries,34,6.61298676476619,2019
11203,Lézignan-Corbières,11,34172,Montpellier,34,17.2677327009036,2019
11206,Limoux,11,34172,Montpellier,34,8.23413568707335,2019
11234,Mireval-Lauragais,11,34129,Lattes,34,5.13888888888889,2019
11251,Val-de-Dagne,11,34172,Montpellier,34,10.353717212037,2019
11255,Montredon-des-Corbières,11,34172,Montpellier,34,5.06083676476193,2019
11259,Moussoulens,11,34172,Montpellier,34,10.0,2019
11262,Narbonne,11,34057,Castelnau-le-Lez,34,9.27890539533985,2019
11262,Narbonne,11,34058,Castries,34,0.94506170928241,2019
11262,Narbonne,11,34129,Lattes,34,3.4537834628511,2019
11262,Narbonne,11,34134,Lavérune,34,0.94506170928241,2019
11262,Narbonne,11,34172,Montpellier,34,175.04758122516,2019
11262,Narbonne,11,34270,Saint-Jean-de-Védas,34,13.0741752922994,2019
11264,Névian,11,34172,Montpellier,34,4.81561377455002,2019
11267,Ornaisons,11,34172,Montpellier,34,5.0,2019
11269,Ouveillan,11,34172,Montpellier,34,15.1122250097414,2019
11273,Paraza,11,34172,Montpellier,34,4.82091690544413,2019
11276,Paziols,11,34088,Cournonterral,34,5.00954802778839,2019
